"e 180 st" [3, '"110 st"']
"roosevelt island" [5, '"roosevelt ave"']
"jackson hts - roosevelt av" [16, '"jackson ave"']
"central av" [5, '"canal st"']
"nevins st" [5, '"bergen st"']
"high st" [9]
"flushing - main st" [12, '"bay ridge-95 st"']
"225 st" [2, '"121 st"']
"beverly rd" [3, '"beverley road"']
"hoyt - schermerhorn sts" [15, '"33 st/rawson st"']
"bedford - nostrand avs" [12, '"bedford ave"']
"110 st" [8]
"ditmas av" [6, '"central ave"']
"vernon blvd - jackson av" [14, '"82 st-jackson h"']
"57 st - 7 av" [5, '"49 st-7 ave"']
"103 st - corona plaza" [15, '"103 st"']
"astoria - ditmars blvd" [14, '"ditmas ave"']
"beach 44 st" [3, '"beach 105 st"']
"kew gardens - union tpke" [19, '"103 st-corona"']
"marble hill - 225 st" [11, '"castle hill ave"']
"104 st" [8]
"sutter av - rutland rd" [14, '"5 ave-bryant pk"']
"138 st - grand concourse" [15, '"137 st-city col"']
"prospect av" [6, '"crescent st"']
"3 av - 149 st" [6, '"5 ave-53 st"']
"st lawrence av" [7, '"stillwell ave"']
"72 st" [2, '"121 st"']
"howard beach - jfk airport" [18, '"beach 105 st"']
"prince st" [4, '"grand st"']
"174 st" [2, '"103 st"']
"bay ridge av" [5, '"bay ridge-95 st"']
"atlantic av" [6, '"alabama ave"']
"4 av" [2, '"1 ave"']
"times sq - 42 st" [10, '"beach 44 st"']
"ocean pkwy" [5, '"eastern pkwy"']
"franklin av" [7, '"atlantic ave"']
"beach 60 st" [4, '"bay 50 st"']
"rockaway av" [5, '"lackawanna"']
"kingsbridge rd" [11, '"9th street"']
"86 st" [2, '"116 st"']
"clifton" [6, '"14 st"']
"great kills" [8, '"ave i"']
"bowling green" [10, '"14th street"']
